Date,Symbol,Open,High,Low,Close,Adj Close,Volume,VWAP
27-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
28-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-01-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
27-02-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
31-03-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
07-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
14-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
21-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
27-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
28-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-04-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-05-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-05-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-05-2004,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-05-2004,TCS,118.625,122.5,113.800003,115.887497,82.536171,19760,117.3958333
07-05-2004,TCS,116.25,116.25,111.099998,111.824997,79.642807,31344,113.0583317
10-05-2004,TCS,111,112,109.512497,111.099998,79.12645,4904,110.8708317
11-05-2004,TCS,114,114,103.75,105.3125,75.004532,21032,107.6875
